,이경영,정인기,마동석,배성우,오달수,라미란,조진웅,김기천,한이진,오정세,영화명
313,0,1,0,1,0,0,0,0,0,0,더 킹
314,0,0,0,0,0,0,0,1,0,0,점쟁이들
315,0,0,0,0,0,0,0,0,0,0,인랑
316,0,0,0,0,0,0,0,0,0,0,극장판 헬로카봇 : 백악기 시대
317,0,0,0,0,0,0,0,0,0,0,고死 두 번째 이야기: 교생실습
318,0,0,0,0,0,0,0,0,0,0,열한시
319,0,0,0,0,0,0,0,0,0,0,미확인 동영상 : 절대클릭금지
320,0,0,0,0,0,0,0,0,0,0,숙명
321,0,0,0,0,0,0,0,0,0,0,살인의뢰
322,0,0,0,0,0,0,0,0,0,0,좋아해줘
323,0,0,0,0,0,0,0,0,0,0,만추
324,0,0,0,0,0,0,0,0,0,0,대립군
325,0,0,0,0,0,0,0,0,0,0,마린보이
326,0,0,0,0,0,0,0,0,0,0,체포왕
327,0,0,0,0,0,0,0,0,0,0,손님
328,0,0,0,0,0,0,0,0,0,0,뽀로로 극장판 공룡섬 대모험
329,0,0,0,0,0,1,0,0,0,0,남쪽으로 튀어
330,0,0,0,0,0,0,0,0,0,0,레드슈즈
331,0,0,0,0,0,0,0,0,0,0,카트
332,0,0,0,0,0,0,0,0,0,0,화이트: 저주의 멜로디
333,0,0,0,1,0,0,0,0,0,0,상의원
334,1,0,0,0,0,0,0,0,0,0,관능의 법칙
335,0,0,0,0,0,0,0,0,1,0,푸른소금
336,0,0,0,0,0,0,0,0,1,0,나는 왕이로소이다
337,0,0,0,0,0,1,0,0,1,0,상류사회
338,0,0,0,0,0,0,0,0,0,0,뽀로로 극장판 보물섬 대모험
339,0,0,0,0,0,0,0,0,0,1,레슬러
340,0,0,0,0,0,0,0,1,0,0,모던보이
341,0,0,0,0,0,0,0,0,0,0,스플릿
342,0,0,0,0,0,0,0,0,0,0,주유소 습격사건 2
343,0,0,0,0,0,0,0,0,0,0,김씨표류기
344,0,1,1,0,0,0,0,0,0,0,더 파이브
345,0,0,0,0,0,0,0,0,0,0,순정만화
346,0,0,0,0,0,0,0,0,0,0,슬픔보다 더 슬픈 이야기
347,1,0,0,0,0,0,0,0,0,0,물괴
348,0,0,0,0,0,0,0,0,0,0,미쓰백
349,0,0,0,0,0,0,0,0,0,0,풍산개
350,0,0,0,0,1,0,0,0,0,0,국가대표 2
351,0,0,0,0,0,0,0,0,0,0,통증
352,0,0,0,0,0,0,0,0,0,0,신비아파트: 금빛 도깨비와 비밀의 동굴
353,0,0,0,0,0,0,0,0,0,0,신비아파트 극장판 하늘도깨비 대 요르문간드
354,0,0,0,0,0,0,0,0,0,0,고양이: 죽음을 보는 두 개의 눈
355,0,0,0,0,0,0,0,0,0,0,실종
356,0,0,0,1,1,0,0,0,0,0,열정같은소리하고있네
357,0,0,0,0,0,0,0,0,0,0,그날의 분위기
358,0,0,0,0,0,0,0,0,0,0,여고괴담 5
359,0,0,0,0,0,0,0,0,0,0,울학교 이티
360,0,0,0,0,0,0,0,0,0,0,아빠는 딸
361,0,0,0,0,0,0,1,0,0,0,사냥
362,0,0,0,0,0,0,0,0,0,0,나를 찾아줘
363,0,1,0,0,0,0,1,0,0,0,광대들: 풍문조작단
364,0,0,0,0,0,0,0,0,0,0,널 기다리며
365,0,0,0,0,0,0,0,0,0,0,플랜맨
366,0,0,0,0,0,0,0,0,0,0,핸드폰
367,1,0,0,0,0,0,0,0,0,0,조선마술사
368,0,0,0,0,0,0,0,0,0,0,다찌마와리
369,0,0,0,0,0,0,0,0,0,0,홍길동의 후예
370,0,0,0,1,0,0,0,0,0,0,특종: 량첸살인기
371,0,0,0,0,0,0,0,0,0,0,미쓰GO
372,1,1,0,0,0,0,0,0,0,0,서부전선
373,0,0,0,0,0,0,0,1,0,0,이층의 악당
374,0,0,0,0,0,0,0,0,0,0,반가운 살인자
375,0,0,0,0,0,0,0,0,0,0,우는 남자
376,0,0,0,0,0,0,0,0,0,0,황제를 위하여
377,0,0,0,0,0,0,0,0,0,0,패션왕
378,0,0,0,0,0,0,0,0,0,0,뜨거운 것이 좋아
379,0,0,0,0,0,0,0,0,0,0,극장판 헬로카봇 : 달나라를 구해줘!
380,0,0,0,0,0,0,0,0,0,0,퀴즈왕
381,0,0,0,0,0,0,0,0,0,0,고고 70
382,0,0,0,0,0,0,0,0,0,0,극장판 헬로카봇: 옴파로스 섬의 비밀
383,0,0,0,0,0,0,0,0,0,0,파파
384,0,0,0,0,0,0,0,0,0,0,슈퍼맨이었던 사나이
385,0,0,0,0,0,0,0,0,0,0,양자물리학
386,0,0,0,0,0,1,0,0,0,0,점박이 한반도의 공룡2 : 새로운 낙원
