,Movie,Distributor,Screen,Sales,Audience,Genre,Rate,Year,Month,Season
245,간기남,(주)쇼박스,356,9356.4045,1246.185,코미디,청소년관람불가,2012,4,2
246,유열의 음악앨범,CGV아트하우스,1078,10233.45504,1245.532,멜로/로맨스,12세이상관람가,2019,8,3
247,육혈포 강도단,롯데쇼핑㈜롯데엔터테인먼트,319,8784.927671,1233.582,코미디,15세이상관람가,2010,3,2
248,심야의 F.M.,롯데쇼핑㈜롯데엔터테인먼트,422,9328.562568000001,1228.673,스릴러,청소년관람불가,2010,10,4
249,특별수사: 사형수의 편지,(주)넥스트엔터테인먼트월드(NEW),691,9792.082065,1225.142,범죄,15세이상관람가,2016,6,3
250,찌라시: 위험한 소문,씨제이이앤엠(주),560,9111.648087,1221.42,범죄,15세이상관람가,2014,2,1
251,결혼전야,씨너스엔터테인먼트(주),524,8431.504719,1212.27,멜로/로맨스,15세이상관람가,2013,11,4
252,악녀,(주)넥스트엔터테인먼트월드(NEW),685,9730.720143999999,1206.917,액션,청소년관람불가,2017,6,3
253,인사동 스캔들,에스케이텔레콤(주),314,7900.084842,1206.101,드라마,15세이상관람가,2009,4,2
254,깡철이,씨제이이앤엠(주),707,8534.777462,1204.666,드라마,15세이상관람가,2013,10,4
255,시간이탈자,씨제이이앤엠(주),733,9729.882195,1202.058,스릴러,15세이상관람가,2016,4,2
256,R2B: 리턴투베이스,씨제이이앤엠(주),539,8600.489371,1201.64,액션,15세이상관람가,2012,8,3
257,해빙,롯데쇼핑㈜롯데엔터테인먼트,915,9879.737822,1201.576,스릴러,15세이상관람가,2017,3,2
258,더 웹툰: 예고살인,씨제이이앤엠(주),541,8534.32207,1201.033,공포(호러),15세이상관람가,2013,6,3
259,생일,(주)넥스트엔터테인먼트월드(NEW),862,9786.575840000001,1186.283,드라마,전체관람가,2019,4,2
260,바람 바람 바람,(주)넥스트엔터테인먼트월드(NEW),985,9702.206675,1183.959,코미디,청소년관람불가,2018,4,2
261,빅매치,(주)넥스트엔터테인먼트월드(NEW),627,8952.096578,1177.438,액션,15세이상관람가,2014,11,4
262,"힘을 내요, 미스터 리",(주)넥스트엔터테인먼트월드(NEW),990,9887.863906,1176.076,코미디,12세이상관람가,2019,9,4
263,서양 골동 양과자점 앤티크,"오퍼스픽쳐스(유),(주)쇼박스",451,7367.880833,1173.31,드라마,15세이상관람가,2008,11,4
264,동주,메가박스중앙(주)플러스엠,499,8864.695589,1168.427,드라마,12세이상관람가,2016,2,1
265,돈의 맛,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",643,8776.870611,1165.488,드라마,청소년관람불가,2012,5,2
266,장수상회,씨제이이앤엠(주),688,8707.389643,1160.935,멜로/로맨스,12세이상관람가,2015,4,2
267,가문의 영광5 - 가문의 귀환,롯데쇼핑㈜롯데엔터테인먼트,447,8330.3425,1160.021,코미디,15세이상관람가,2012,12,1
268,슬로우 비디오,이십세기폭스코리아(주),618,8840.530219,1159.787,드라마,12세이상관람가,2014,10,4
269,미씽: 사라진 여자,메가박스중앙(주)플러스엠,790,8881.616256,1153.109,미스터리,15세이상관람가,2016,11,4
270,퍼펙트맨,(주)쇼박스,894,9604.13975,1144.894,코미디,15세이상관람가,2019,10,4
271,용서는 없다,(주)시네마서비스,334,8737.627361,1144.238,범죄,청소년관람불가,2010,1,1
272,장사리 : 잊혀진 영웅들,워너브러더스 코리아(주),1090,8997.92105,1140.876,전쟁,12세이상관람가,2019,9,4
273,고령화 가족,씨제이이앤엠(주),583,8159.482153,1139.25,드라마,15세이상관람가,2013,5,2
274,김종욱 찾기,씨제이엔터테인먼트,442,8271.660983,1130.638,멜로/로맨스,12세이상관람가,2010,12,1
275,하루,CGV아트하우스,781,9068.009842,1129.018,스릴러,15세이상관람가,2017,6,3
276,챔피언,워너브러더스 코리아(주),874,9441.06423,1125.319,드라마,12세이상관람가,2018,5,2
277,성난 변호사,씨제이이앤엠(주),607,8697.174039,1124.918,범죄,15세이상관람가,2015,10,4
278,"당신, 거기 있어줄래요",롯데쇼핑㈜롯데엔터테인먼트,767,8999.085248000001,1124.815,판타지,12세이상관람가,2016,12,1
279,6년째 연애중,(주)스튜디오210,327,7460.438,1123.294,멜로/로맨스,15세이상관람가,2008,2,1
280,특수본,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",471,8096.0525,1118.258,액션,15세이상관람가,2011,11,4
281,회사원,(주)쇼박스,549,8321.175,1110.523,액션,청소년관람불가,2012,10,4
282,간신,롯데쇼핑㈜롯데엔터테인먼트,697,8946.84291,1110.246,사극,청소년관람불가,2015,5,2
283,베스트셀러,(주)시너지하우스 (시너지),317,8110.824681,1099.665,미스터리,15세이상관람가,2010,4,2
284,롱 리브 더 킹: 목포 영웅,"메가박스중앙(주)플러스엠,(주)콘텐츠 난다긴다",965,9218.26291,1092.738,액션,15세이상관람가,2019,6,3
285,오빠생각,(주)넥스트엔터테인먼트월드(NEW),855,8058.857287000001,1069.436,드라마,12세이상관람가,2016,1,1
286,"날, 보러와요",메가박스중앙(주)플러스엠,683,8821.335062999999,1061.412,미스터리,청소년관람불가,2016,4,2
287,수상한 고객들,씨제이이앤엠(주),411,7953.428000000001,1059.35,코미디,15세이상관람가,2011,4,2
288,시크릿,씨제이엔터테인먼트,397,7979.591606999999,1046.787,스릴러,청소년관람불가,2009,12,1
289,그놈이다,CGV아트하우스,681,8098.811151999999,1046.313,스릴러,15세이상관람가,2015,10,4
290,동창생,(주)쇼박스,660,6983.395126,1044.522,액션,15세이상관람가,2013,11,4
291,점박이:한반도의 공룡3D,씨제이이앤엠(주),457,9621.468,1040.636,애니메이션,전체관람가,2012,1,1
292,파괴된 사나이,(주)시너지하우스 (시너지),190,7820.538614,1030.285,드라마,청소년관람불가,2010,7,3
293,오직 그대만,(주)쇼박스,435,7591.0085,1027.622,멜로/로맨스,15세이상관람가,2011,10,4
294,심장이 뛴다,롯데쇼핑㈜롯데엔터테인먼트,445,7538.0835,1006.947,드라마,15세이상관람가,2011,1,1
295,염력,(주)넥스트엔터테인먼트월드(NEW),1099,7484.644112000001,990.104,드라마,15세이상관람가,2018,1,1
296,방황하는 칼날,씨제이이앤엠(주),594,7806.3778,987.42,범죄,청소년관람불가,2014,4,2
297,시체가 돌아왔다,씨제이이앤엠(주),435,7357.6230000000005,986.547,범죄,15세이상관람가,2012,3,2
298,미쓰 와이프,메가박스중앙(주)플러스엠,437,7357.162869,984.265,코미디,15세이상관람가,2015,8,3
299,원더풀 라디오,(주)쇼박스,474,7193.596,977.47,드라마,15세이상관람가,2012,1,1
