영화명,배급사,개봉일,전국,전국,전국,장르,등급
,,,스크린수,매출액,관객수,,
시동,(주)넥스트엔터테인먼트월드(NEW),2019-12-18,"1,515","21,236,477,800","2,525,986",드라마,15세이상관람가
목격자,(주)넥스트엔터테인먼트월드(NEW),2018-08-15,"1,021","21,732,042,597","2,524,086",스릴러,15세이상관람가
증인,롯데컬처웍스(주)롯데엔터테인먼트,2019-02-13,"1,047","20,312,348,931","2,516,128",드라마,12세이상관람가
조작된 도시,씨제이이앤엠(주),2017-02-09,"1,019","20,119,979,587","2,512,572",범죄,15세이상관람가
반창꼬,(주)넥스트엔터테인먼트월드(NEW),2012-12-19,466,"17,883,988,787","2,471,721",멜로/로맨스,15세이상관람가
블랙머니,(주)에이스메이커무비웍스,2019-11-13,"1,117","20,744,296,510","2,464,978",범죄,12세이상관람가
화차,필라멘트픽쳐스,2012-03-08,548,"18,450,760,000","2,435,211",미스터리,15세이상관람가
이웃사람,롯데쇼핑㈜롯데엔터테인먼트,2012-08-22,600,"18,087,442,369","2,434,099",스릴러,청소년관람불가
조선명탐정: 흡혈괴마의 비밀,(주)쇼박스,2018-02-08,"1,249","19,690,818,764","2,424,330",사극,12세이상관람가
재심,"오퍼스픽쳐스(유),CGV아트하우스",2017-02-15,935,"19,263,100,637","2,420,729",드라마,15세이상관람가
사바하,씨제이이앤엠(주),2019-02-20,"1,174","20,002,183,194","2,397,792",미스터리,15세이상관람가
의뢰인,(주)쇼박스,2011-09-29,522,"17,797,042,500","2,393,086",스릴러,15세이상관람가
화이: 괴물을 삼킨 아이,(주)쇼박스,2013-10-09,817,"17,678,676,795","2,391,963",액션,청소년관람불가
가문의 영광4 - 가문의 수난,(주)넥스트엔터테인먼트월드(NEW),2011-09-07,537,"17,762,035,500","2,363,955",코미디,15세이상관람가
블라인드,(주)넥스트엔터테인먼트월드(NEW),2011-08-10,404,"18,361,430,500","2,362,906",스릴러,청소년관람불가
박열,메가박스중앙(주)플러스엠,2017-06-28,"1,176","18,093,543,795","2,359,174",드라마,12세이상관람가
미인도,씨제이엔터테인먼트,2008-11-13,463,"15,531,621,371","2,325,715",사극,청소년관람불가
라스트 갓파더,씨제이엔터테인먼트,2010-12-29,547,"16,832,542,997","2,316,099",코미디,12세이상관람가
하녀,(주)싸이더스,2010-05-13,577,"17,310,669,976","2,304,487",스릴러,청소년관람불가
박쥐,씨제이엔터테인먼트,2009-04-30,462,"15,051,788,827","2,237,271",공포(호러),청소년관람불가
7광구,씨제이이앤엠(주),2011-08-04,812,"19,314,027,000","2,232,179",SF,15세이상관람가
타짜: 원 아이드 잭,롯데컬처웍스(주)롯데엔터테인먼트,2019-09-11,"1,429","19,673,441,214","2,227,671",범죄,청소년관람불가
마당을 나온 암탉,롯데쇼핑㈜롯데엔터테인먼트,2011-07-28,345,"14,656,535,500","2,199,048",애니메이션,전체관람가
악의 연대기,씨제이이앤엠(주),2015-05-14,776,"17,360,123,332","2,192,243",스릴러,15세이상관람가
강남 1970,(주)쇼박스,2015-01-21,841,"17,717,971,499","2,192,172",액션,청소년관람불가
황해,"(주)쇼박스,이십세기폭스코리아(주)",2010-12-22,618,"16,765,970,362","2,167,426",스릴러,청소년관람불가
초능력자,(주)넥스트엔터테인먼트월드(NEW),2010-11-10,622,"15,618,440,958","2,164,805",SF,15세이상관람가
내 사랑 내 곁에,씨제이엔터테인먼트,2009-09-24,474,"15,764,312,409","2,160,265",드라마,12세이상관람가
신의 한 수: 귀수편,씨제이이앤엠(주),2019-11-07,"1,246","18,390,955,050","2,146,764",범죄,15세이상관람가
마이 웨이,"에스케이플래닛(주),씨제이이앤엠(주)",2011-12-21,645,"15,994,803,000","2,142,622",전쟁,15세이상관람가
나의 사랑 나의 신부,씨네그루(주)다우기술,2014-10-08,629,"16,592,056,305","2,135,614",멜로/로맨스,15세이상관람가
굿바이 싱글,(주)쇼박스,2016-06-29,841,"16,912,706,195","2,108,273",코미디,15세이상관람가
몽타주,(주)넥스트엔터테인먼트월드(NEW),2013-05-16,540,"15,000,722,500","2,095,375",스릴러,15세이상관람가
명당,메가박스중앙(주)플러스엠,2018-09-19,"1,117","17,900,775,524","2,087,474",사극,12세이상관람가
내부자들: 디 오리지널,(주)쇼박스,2015-12-31,838,"16,973,885,275","2,083,999",범죄,청소년관람불가
쩨쩨한 로맨스,롯데쇼핑㈜롯데엔터테인먼트,2010-12-01,463,"15,901,620,661","2,080,574",코미디,청소년관람불가
눈에는 눈 이에는 이,롯데쇼핑㈜롯데엔터테인먼트,2008-07-31,445,"13,414,023,500","2,058,764",범죄,15세이상관람가
뷰티 인사이드,(주)넥스트엔터테인먼트월드(NEW),2015-08-20,648,"16,152,717,131","2,053,947",판타지,12세이상관람가
봉이 김선달,씨제이이앤엠(주),2016-07-06,942,"16,172,133,642","2,044,564",사극,12세이상관람가
남자가 사랑할 때,(주)넥스트엔터테인먼트월드(NEW),2014-01-22,531,"14,510,222,300","1,979,311",멜로/로맨스,15세이상관람가
협상,씨제이이앤엠(주),2018-09-19,919,"17,032,133,166","1,967,721",범죄,15세이상관람가
애자,(주)시너지하우스 (시너지),2009-09-09,262,"13,785,879,439","1,922,634",드라마,15세이상관람가
그림자 살인,씨제이엔터테인먼트,2009-04-02,387,"12,805,808,556","1,914,779",미스터리,15세이상관람가
내안의 그놈,"(주)메리크리스마스,TCO(주)더콘텐츠온",2019-01-09,"1,041","16,293,580,567","1,901,684",판타지,15세이상관람가
오늘의 연애,씨제이이앤엠(주),2015-01-14,709,"14,924,654,487","1,891,993",멜로/로맨스,15세이상관람가
글러브,씨제이엔터테인먼트,2011-01-20,605,"13,757,574,500","1,888,100",드라마,전체관람가
해결사,"(주)넥스트엔터테인먼트월드(NEW),(주)에스비에스콘텐츠허브",2010-09-09,524,"14,063,913,437","1,873,327",액션,15세이상관람가
아이들...,롯데쇼핑㈜롯데엔터테인먼트,2011-02-17,504,"13,562,608,500","1,864,408",범죄,15세이상관람가
마약왕,(주)쇼박스,2018-12-19,"1,297","16,222,446,942","1,864,076",범죄,청소년관람불가
코리아,씨제이이앤엠(주),2012-05-03,537,"13,334,762,500","1,857,392",드라마,12세이상관람가
노무현입니다,"CGV아트하우스,영화사 풀",2017-05-25,775,"14,554,935,612","1,854,867",다큐멘터리,12세이상관람가
집으로 가는 길,씨제이이앤엠(주),2013-12-11,740,"13,048,519,745","1,854,625",드라마,15세이상관람가
악마를 보았다,(주)쇼박스,2010-08-12,494,"14,148,937,025","1,848,418",스릴러,청소년관람불가
뺑반,(주)쇼박스,2019-01-30,"1,285","15,222,811,848","1,826,714",범죄,15세이상관람가
변신,(주)에이스메이커무비웍스,2019-08-21,975,"15,417,922,925","1,804,112",공포(호러),15세이상관람가
차우,롯데쇼핑㈜롯데엔터테인먼트,2009-07-15,397,"12,676,951,144","1,799,356",액션,12세이상관람가
공범,씨제이이앤엠(주),2013-10-24,611,"12,333,110,882","1,766,285",스릴러,15세이상관람가
대호,(주)넥스트엔터테인먼트월드(NEW),2015-12-16,892,"13,489,904,632","1,762,742",사극,12세이상관람가
전설의 주먹,씨제이이앤엠(주),2013-04-10,724,"12,732,236,500","1,737,253",드라마,청소년관람불가
제보자,메가박스중앙(주)플러스엠,2014-10-02,676,"13,371,522,302","1,735,640",드라마,12세이상관람가
러브픽션,(주)넥스트엔터테인먼트월드(NEW),2012-02-29,617,"13,200,412,500","1,726,202",멜로/로맨스,15세이상관람가
평양성,롯데쇼핑㈜롯데엔터테인먼트,2011-01-27,451,"12,684,530,500","1,717,566",전쟁,12세이상관람가
파파로티,(주)쇼박스,2013-03-14,552,"11,808,286,000","1,713,891",드라마,15세이상관람가
쎄시봉,씨제이이앤엠(주),2015-02-05,829,"13,509,581,911","1,707,487",멜로/로맨스,15세이상관람가
님은 먼 곳에,(주)쇼박스,2008-07-24,499,"11,211,235,000","1,706,576",드라마,15세이상관람가
불꽃처럼 나비처럼,(주)쇼박스,2009-09-24,437,"12,447,633,504","1,690,294",멜로/로맨스,15세이상관람가
피끓는 청춘,롯데쇼핑㈜롯데엔터테인먼트,2014-01-22,679,"11,688,382,888","1,676,040",코미디,15세이상관람가
PMC: 더 벙커,씨제이이앤엠(주),2018-12-26,"1,081","14,024,838,424","1,671,548",액션,15세이상관람가
공모자들,"씨너스엔터테인먼트(주),타임스토리그룹(주)",2012-08-29,496,"12,240,964,500","1,646,142",범죄,청소년관람불가
임금님의 사건수첩,씨제이이앤엠(주),2017-04-26,"1,054","12,648,793,723","1,634,403",코미디,12세이상관람가
고死 : 피의 중간고사,에스케이텔레콤(주),2008-08-07,270,"10,299,976,000","1,634,051",공포(호러),15세이상관람가
걸캅스,씨제이이앤엠(주),2019-05-09,973,"13,772,604,134","1,625,037",코미디,15세이상관람가
무방비도시,씨제이엔터테인먼트,2008-01-10,336,"10,591,349,944","1,613,728",범죄,15세이상관람가
우아한 거짓말,CGV아트하우스,2014-03-13,555,"11,694,011,300","1,613,392",드라마,12세이상관람가
하울링,씨제이이앤엠(주),2012-02-16,550,"11,765,293,500","1,612,554",범죄,15세이상관람가
두근두근 내 인생,씨제이이앤엠(주),2014-09-03,629,"12,191,623,034","1,611,519",드라마,12세이상관람가
사자,롯데컬처웍스(주)롯데엔터테인먼트,2019-07-31,"1,405","12,917,306,145","1,609,737",미스터리,15세이상관람가
창궐,(주)넥스트엔터테인먼트월드(NEW),2018-10-25,"1,351","13,275,772,490","1,599,290",사극,15세이상관람가
더 폰,(주)넥스트엔터테인먼트월드(NEW),2015-10-22,794,"12,309,164,568","1,593,694",스릴러,15세이상관람가
성난황소,(주)쇼박스,2018-11-22,"1,010","13,236,490,737","1,593,386",범죄,15세이상관람가
무적자,씨제이엔터테인먼트,2010-09-16,416,"11,816,488,677","1,571,432",드라마,15세이상관람가
원스어폰어타임,(유)씨에이치엔터테인먼트,2008-01-31,315,"10,180,143,111","1,562,486",액션,12세이상관람가
용의자X,씨제이이앤엠(주),2012-10-18,553,"11,241,013,000","1,552,055",미스터리,15세이상관람가
도어락,메가박스중앙(주)플러스엠,2018-12-05,954,"12,694,612,486","1,545,442",스릴러,15세이상관람가
유감스러운 도시,씨제이엔터테인먼트,2009-01-22,375,"10,300,187,478","1,534,911",코미디,15세이상관람가
작전,(주)쇼박스,2009-02-12,393,"10,198,304,795","1,534,407",범죄,15세이상관람가
퍼펙트 게임,롯데쇼핑㈜롯데엔터테인먼트,2011-12-21,413,"11,220,408,500","1,507,084",드라마,12세이상관람가
리틀 포레스트,메가박스중앙(주)플러스엠,2018-02-28,884,"11,924,818,185","1,505,560",드라마,전체관람가
더 게임,씨제이이엔엠㈜,2008-01-30,339,"9,869,346,557","1,496,214",스릴러,15세이상관람가
차이나타운,CGV아트하우스,2015-04-29,551,"11,989,400,678","1,472,006",범죄,청소년관람불가
스윙키즈,(주)넥스트엔터테인먼트월드(NEW),2018-12-19,984,"12,077,312,892","1,470,753",드라마,12세이상관람가
부라더,메가박스중앙(주)플러스엠,2017-11-02,889,"11,590,908,298","1,468,301",코미디,12세이상관람가
해무(海霧),(주)넥스트엔터테인먼트월드(NEW),2014-08-13,584,"11,631,310,219","1,466,830",드라마,청소년관람불가
나의 특별한 형제,(주)넥스트엔터테인먼트월드(NEW),2019-05-01,936,"11,835,049,574","1,441,813",드라마,12세이상관람가
탐정 홍길동: 사라진 마을,씨제이이앤엠(주),2016-05-04,764,"11,483,686,845","1,426,873",드라마,15세이상관람가
